text,aspect,label,
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",food,neutral,TRAINU_00018_002
"We were promptly seated - the waitress was very attentive, got us drinks and menus.",menu,neutral,TRAINU_00018_003
"Great place to meet friends or co workers for drinks, dinner or both.",staff,positive,TRAINU_00019_001
"Great place to meet friends or co workers for drinks, dinner or both.",food,neutral,TRAINU_00019_002
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",staff,negative,TRAINU_00020_001
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",ambience,neutral,TRAINU_00020_002
"The service was not great, the wait staff were not clear on the ingredients and or preparation details of the meals.",food,neutral,TRAINU_00020_003
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",food,positive,TRAINU_00021_001
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",place,neutral,TRAINU_00021_002
"On the other hand, I never felt rushed to vacate the place at the end of my meal.",place,neutral,TRAINU_00022_001
"On the other hand, I never felt rushed to vacate the place at the end of my meal.",food,neutral,TRAINU_00022_002
"The wait staff was all hanging at the bar, lounging around.",staff,positive,TRAINU_00023_001
"The wait staff was all hanging at the bar, lounging around.",place,neutral,TRAINU_00023_002
My friend was looking forward to her favorite dish on the menu had made reservations for the 14 of us a few weeks beforehand.,food,positive,TRAINU_00024_001
My friend was looking forward to her favorite dish on the menu had made reservations for the 14 of us a few weeks beforehand.,menu,neutral,TRAINU_00024_002
"Meanwhile, our server was dancing and posing by the bar.",staff,negative,TRAINU_00025_001
"Meanwhile, our server was dancing and posing by the bar.",place,neutral,TRAINU_00025_002
"They had a prix fixe menu with the most amazing cooked quail appetizer, then lobster bisque, followed by a divine choice of entree, and then the chocolate mousse dessert.",menu,neutral,TRAINU_00026_001
"They had a prix fixe menu with the most amazing cooked quail appetizer, then lobster bisque, followed by a divine choice of entree, and then the chocolate mousse dessert.",food,positive,TRAINU_00026_002
"As we looked at the menu and the wine list, my friend overheard the manager comment to a waitress about me that the least he could do is wear a button down shirt, and not show up dressed like a Gristede's boxcutter.",menu,neutral,TRAINU_00027_001
"As we looked at the menu and the wine list, my friend overheard the manager comment to a waitress about me that the least he could do is wear a button down shirt, and not show up dressed like a Gristede's boxcutter.",staff,negative,TRAINU_00027_002
The waiter spent a long time telling us about the menu (and more about his own life history in the process.,menu,neutral,TRAINU_00028_002
"service was reasonably quick via delivery, but the hunan beef had no spice whatsoever and the chicken chow mein really looked inedible.",service,positive,TRAINU_00029_001
"service was reasonably quick via delivery, but the hunan beef had no spice whatsoever and the chicken chow mein really looked inedible.",food,negative,TRAINU_00029_002
Food was good but portions were quite tiny.,food,positive,TRAINU_00030_001
Food was good but portions were quite tiny.,miscellaneous,negative,TRAINU_00030_002
"Nice family place, nice atmosphere, but don't go there for pizza.",place,positive,TRAINU_00032_001
"Nice family place, nice atmosphere, but don't go there for pizza.",ambience,positive,TRAINU_00032_002
"While the restaurant/space itself isn't so great (somewhat cramped cheesy interior, and the name implies its a burrito take-out place), the service and food outway its few cons.",food,positive,TRAINU_00033_002
"While the restaurant/space itself isn't so great (somewhat cramped cheesy interior, and the name implies its a burrito take-out place), the service and food outway its few cons.",service,negative,TRAINU_00033_003
The manager very politely told the drunk man that he could leave and then gave everyone on the resturaunt a free glass of port for having to witness it.,miscellaneous,neutral,TRAINU_00034_002
"Yellowtail tuna carpaccio, lightly dressed with a hint of mint, sings of summer, and crab salad partnered with sweet-hot mango mustard and greens hits all the right flavor notes.",food,positive,TRAINU_00035_001
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",menu,neutral,TRAINU_00036_001
"The menu is limited: chicken, rice beans, frozen fish (shrimp, whiting, crab sticks), and french fries, but one receives EXCELLENT value for the money and it is SO WORTH walking down the block for.",price,neutral,TRAINU_00036_004
It's sad that everything about this place was great (even the service and decor) except for the steak.,ambience,positive,TRAINU_00037_002
Get there before 7:30 for dinner or get ready for a really long wait - this place doesn't take reservations.,food,neutral,TRAINU_00038_001
Get there before 7:30 for dinner or get ready for a really long wait - this place doesn't take reservations.,service,negative,TRAINU_00038_002
"Service was inexcusably, excruciatingly slow- it took more than 30 min to get the first round of drinks, by which point our party was ready to walk out.",service,negative,TRAINU_00039_001
"Service was inexcusably, excruciatingly slow- it took more than 30 min to get the first round of drinks, by which point our party was ready to walk out.",food,neutral,TRAINU_00039_002
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",miscellaneous,negative,TRAINU_00040_001
"If you want a quiet dinner don't show up late, cuz the atmosphere gets louder and more loungy as the nite goes on.",food,neutral,TRAINU_00041_001
"The food was pretty good, but due to our large size (~16) the manager asked us to limit our appetizers to just 3 selections b/c he didn't want to overburden his cooks.",food,positive,TRAINU_00042_002
"The ambience is simple, yet elegant and be sure to finish your meal with their famous shlog.",ambience,positive,TRAINU_00043_001
If it's atmosphere you want go to the River Cafe under the bridges and pay an arm and a leg for hospital-type food.,ambience,positive,TRAINU_00044_001
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making!",service,positive,TRAINU_00045_002
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi.",food,positive,TRAINU_00046_001
"The matre de ignored what I said about my girlfriend having to look for a waiter to refill her glass (twice), I mentioned about my rice, he said, You should have spoken up.",staff,negative,TRAINU_00047_001
"The matre de ignored what I said about my girlfriend having to look for a waiter to refill her glass (twice), I mentioned about my rice, he said, You should have spoken up.",food,neutral,TRAINU_00047_002
However service was quite slow for a lunch hour.,service,negative,TRAINU_00049_001
However service was quite slow for a lunch hour.,food,neutral,TRAINU_00049_002
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere.",food,neutral,TRAINU_00050_001
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere.",ambience,positive,TRAINU_00050_003
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",food,positive,TRAINU_00051_001
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",menu,neutral,TRAINU_00051_002
"The Food The French-Belgian menu is small, but everything on it is satisfyingly savory, from a simple pot of mussels in a choice of sauces (beer and bacon, creamy mushroom, or white wine and garlic broth), to beef stewed with beer and prunes; from a juicy croque monsieur and beyond.",miscellaneous,positive,TRAINU_00051_003
"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.",ambience,negative,TRAINU_00052_001
"On the other hand, the food was good but not awesome as had been described, furthermore I found the portions fairly small for this type of restaurant.",food,positive,TRAINU_00053_001
"On the other hand, the food was good but not awesome as had been described, furthermore I found the portions fairly small for this type of restaurant.",miscellaneous,negative,TRAINU_00053_002
It was absolutely delicious to the point where i went back and asked for a variety plate They were so nice to accomodate me and gave me almost everything on the menu to taste from.,miscellaneous,positive,TRAINU_00054_001
It was absolutely delicious to the point where i went back and asked for a variety plate They were so nice to accomodate me and gave me almost everything on the menu to taste from.,menu,neutral,TRAINU_00054_002
"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.",staff,negative,TRAINU_00055_001
"Then, the waitress gave my wife coffee with regular milk in it even though my wife specifically requested Soy Milk.",food,neutral,TRAINU_00055_002
"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.",staff,negative,TRAINU_00056_001
"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.",food,neutral,TRAINU_00056_002
"The only downside was our waitress -- she forgot to order one of our side dishes, was not attentive, and then gave us our check before we finished our bottle of wine.",staff,negative,TRAINU_00057_001
"The only downside was our waitress -- she forgot to order one of our side dishes, was not attentive, and then gave us our check before we finished our bottle of wine.",food,neutral,TRAINU_00057_002
"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",menu,neutral,TRAINU_00058_002
"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",food,negative,TRAINU_00058_003
When he mentioned that a pinot noir would be a decent match with two disparate plates of a first course (and the even further disparate second course- yes we informed him of our total meal choices PRIOR to our wine selection).,food,neutral,TRAINU_00059_002
"We ordered coffee, and then he ordered a bacon cheeseburger (for $12, ridiculous even for New York) The waiter then announced he was going to charge us a $4 sharing charge.",food,neutral,TRAINU_00060_001
"We ordered coffee, and then he ordered a bacon cheeseburger (for $12, ridiculous even for New York) The waiter then announced he was going to charge us a $4 sharing charge.",staff,negative,TRAINU_00060_002
"And the service is unbearable - I waited for ages to get my drink, got the wrong sushi order, and had my appetizer whisked away prematurely.",service,negative,TRAINU_00061_001
"And the service is unbearable - I waited for ages to get my drink, got the wrong sushi order, and had my appetizer whisked away prematurely.",food,neutral,TRAINU_00061_002
"Good food, but bad service.",food,positive,TRAINU_00062_001
"Good food, but bad service.",service,negative,TRAINU_00062_002
Only con was the cost -- our dinner for two was $400!,price,negative,TRAINU_00063_001
Only con was the cost -- our dinner for two was $400!,food,neutral,TRAINU_00063_002
The waitress could have been more specific when I asked for a wine suggestion.,staff,negative,TRAINU_00064_001
The waitress could have been more specific when I asked for a wine suggestion.,food,neutral,TRAINU_00064_002
"Waitress we had appered to be very impatient, didn't know the name of the fish in English, apptizer came when we were having entree and she made no apology.",staff,negative,TRAINU_00065_001
"Waitress we had appered to be very impatient, didn't know the name of the fish in English, apptizer came when we were having entree and she made no apology.",food,neutral,TRAINU_00065_002
"When a seemly accommodating Le Souk manager assured you that he had no problem serving a group of twenty on a Saturday evening, I expected him to keep his words or shall I say our table.",miscellaneous,neutral,TRAINU_00068_002
"Basically traditional menu could have been boring and old-fashioned, but is instead updated enough to please modern palate: steaks, seafood, fish, poultry - ample portions (we took half home), seasoned with care and imagination.",menu,neutral,TRAINU_00069_001
"Bartender seemed cool, so maybe I'd go back for a drink.",staff,positive,TRAINU_00070_001
"Bartender seemed cool, so maybe I'd go back for a drink.",food,neutral,TRAINU_00070_002
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously.",menu,neutral,TRAINU_00071_001
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously.",miscellaneous,neutral,TRAINU_00071_003
Food was good although menu was a little limited(still plenty to chose from).,food,positive,TRAINU_00072_001
"The food did come out quickly and was good, but not worth the prices or the wait.",food,positive,TRAINU_00073_001
"The atmosphere couldn't be better, and the service was outstanding -- at the time there were only two people working the entire bar, and we still got taken care of like it was a five star restaurant.",ambience,positive,TRAINU_00074_001
"The atmosphere couldn't be better, and the service was outstanding -- at the time there were only two people working the entire bar, and we still got taken care of like it was a five star restaurant.",service,positive,TRAINU_00074_002
Could have gone to Pastis for a salad three times the size for the same price.,food,neutral,TRAINU_00075_001
Could have gone to Pastis for a salad three times the size for the same price.,price,neutral,TRAINU_00075_003
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,food,neutral,TRAINU_00076_001
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,staff,negative,TRAINU_00076_002
Manager couldn't be bothered to come over and acknowledge the mistake.,staff,negative,TRAINU_00077_001
"The menu has many choices, and the dining experience lends itself to being a great place for a date, client dinner, parents' dinner or even a start-off to a night out on the town.",miscellaneous,positive,TRAINU_00078_001
I always find myself asking the waiter to make something bland and different than what is on the menu.,staff,negative,TRAINU_00079_001
I always find myself asking the waiter to make something bland and different than what is on the menu.,menu,neutral,TRAINU_00079_002
"My greek salad cost about $9 and for that price, I would not have expected chopped olive (as opposed to whole), and shredded bits of lettuce.",food,neutral,TRAINU_00080_002
Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,staff,negative,TRAINU_00081_001
Went to celebrate my sisters birthday on 9/11 was 1st taken back on the waiters rude answering of a question we had about the menu.,menu,neutral,TRAINU_00081_002
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,service,positive,TRAINU_00082_001
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,price,positive,TRAINU_00082_002
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,food,negative,TRAINU_00082_003
The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,ambience,negative,TRAINU_00082_004
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",food,neutral,TRAINU_00083_001
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",staff,negative,TRAINU_00083_003
": after ordering a bottle of wine (which was originally, inexplicably mistaken for 2 glasses of it), the (2) waitresses in charge of the outdoor space claimed that the bottle was right there in the only cooler used to service about 10 tables.",place,neutral,TRAINU_00083_004
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",place,neutral,TRAINU_00084_001
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",miscellaneous,neutral,TRAINU_00084_002
"I prefer to sit at the bar as I don't have to listen to loud, boring conversations from the next table who always seem to be friends of the owner.",staff,negative,TRAINU_00084_003
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",miscellaneous,neutral,TRAINU_00085_001
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",food,positive,TRAINU_00085_002
"Although we didn't have a reservation, my husband and I enjoyed the food and drinks at the kitchen side seating.",place,neutral,TRAINU_00085_003
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",staff,negative,TRAINU_00086_001
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",ambience,neutral,TRAINU_00086_002
"But wait, it gets even better, the mussels were so fishy that I had the server try one since he had a hard time believing that this was true.",staff,negative,TRAINU_00087_003
"On another occasion, this same gentleman brought bottled water for our entire party [4] on the house again, when we missed our cab and asked to wait inside.",staff,positive,TRAINU_00088_001
"On another occasion, this same gentleman brought bottled water for our entire party [4] on the house again, when we missed our cab and asked to wait inside.",food,neutral,TRAINU_00088_002
"When her boyfriend told the host that she would like to keep her seat as it was, he grabbed a chair and slammed it down very hard on the floor.",staff,negative,TRAINU_00089_001
"My friend and I went out for a cigarette, and when we returned, our table had been given to another party- even though our drinks and unpaid bill were still on the table.",food,neutral,TRAINU_00090_001
"My friend and I went out for a cigarette, and when we returned, our table had been given to another party- even though our drinks and unpaid bill were still on the table.",price,neutral,TRAINU_00090_002
The only cuisines that will provide comparable quality in the vicinity are Greek (if you know where to look) and Pizza.,miscellaneous,positive,TRAINU_00091_001
The only cuisines that will provide comparable quality in the vicinity are Greek (if you know where to look) and Pizza.,food,positive,TRAINU_00091_002
"When I went for sunday brunch, not only was the food bland and cold, they didn't even bother to clear the plates once they brought the bill.",food,negative,TRAINU_00092_001
"When I went for sunday brunch, not only was the food bland and cold, they didn't even bother to clear the plates once they brought the bill.",price,neutral,TRAINU_00092_003
The waiter was able to answer any questions I had about the wine or food.,staff,positive,TRAINU_00093_001
The waiter was able to answer any questions I had about the wine or food.,food,neutral,TRAINU_00093_002
"By the end of the meal, we were shaking hands with/hugging our waiter as we stumbled/rolled out the door.",food,neutral,TRAINU_00094_001
"By the end of the meal, we were shaking hands with/hugging our waiter as we stumbled/rolled out the door.",staff,negative,TRAINU_00094_002
"The fish of the day can be prepared five different ways according to the menu, but fails to mention that those five different ways are just five different sauces that come out with the whole, deep fried fish.",menu,neutral,TRAINU_00095_001
We started with the guacamole and this is by far the best I've ever had bar none.,food,positive,TRAINU_00096_001
We started with the guacamole and this is by far the best I've ever had bar none.,place,neutral,TRAINU_00096_002
"After a few minutes, seeing we were without menus, a slightly more pleasant waitress approached us and explained that the manageress had asthma and wasn't in a good mood.",menu,neutral,TRAINU_00097_001
"After a few minutes, seeing we were without menus, a slightly more pleasant waitress approached us and explained that the manageress had asthma and wasn't in a good mood.",staff,negative,TRAINU_00097_002
Call it a bar with weak but tasty sangria and leave it at that.,place,neutral,TRAINU_00098_001
Call it a bar with weak but tasty sangria and leave it at that.,food,positive,TRAINU_00098_002
"Somewhat agree with the previous reviews about service and the long wait but once seated, the food is well worth it.",service,negative,TRAINU_00099_001
"Somewhat agree with the previous reviews about service and the long wait but once seated, the food is well worth it.",food,positive,TRAINU_00099_002
The waiter just slapped my food down and then never returned until he slapped my check down.,staff,negative,TRAINU_00100_001
The waiter just slapped my food down and then never returned until he slapped my check down.,food,neutral,TRAINU_00100_002
We saw problems with our waitress immediately when she frowned when we opted for tap water instead of bottled.,staff,negative,TRAINU_00101_001
We saw problems with our waitress immediately when she frowned when we opted for tap water instead of bottled.,food,neutral,TRAINU_00101_002
"Our waiter had started to circle around our table like a shark after our 2nd dish, taking out plates when we were not even done.",staff,negative,TRAINU_00102_001
"Our waiter had started to circle around our table like a shark after our 2nd dish, taking out plates when we were not even done.",miscellaneous,neutral,TRAINU_00102_002
"Oh, the prices were not so bad either, we paid $58 for chicken, salmon, one sushi roll, one ceasar salad and soda :).",price,positive,TRAINU_00103_001
"Oh, the prices were not so bad either, we paid $58 for chicken, salmon, one sushi roll, one ceasar salad and soda :).",food,neutral,TRAINU_00103_002
"The outdoor tables overlooking bucolic Irving Place, or the wooden ones inside, are prime spots for brunch featuring all the usual suspects--omelets, pancakes, French toast--served on cast iron skillets and griddles.",food,positive,TRAINU_00104_002
"The outdoor tables overlooking bucolic Irving Place, or the wooden ones inside, are prime spots for brunch featuring all the usual suspects--omelets, pancakes, French toast--served on cast iron skillets and griddles.",miscellaneous,positive,TRAINU_00104_003
Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,food,neutral,TRAINU_00105_002
"Our waitress was pleasant but slow, and the food is simply not good enough to be treated like a nuisance.",staff,negative,TRAINU_00106_001
"Our waitress was pleasant but slow, and the food is simply not good enough to be treated like a nuisance.",food,positive,TRAINU_00106_002
waitstaff was more into pushing the sparkling water than give me a wine menu.,staff,negative,TRAINU_00107_001
waitstaff was more into pushing the sparkling water than give me a wine menu.,food,neutral,TRAINU_00107_002
waitstaff was more into pushing the sparkling water than give me a wine menu.,menu,neutral,TRAINU_00107_003
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,miscellaneous,neutral,TRAINU_00108_001
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,staff,positive,TRAINU_00108_002
"When my (pregnant) friend asked about a non-alcoholic version of a drink, the answer was simply no, with no further suggestions.",food,neutral,TRAINU_00109_001
At the end of the meal the manager stopped by and said dessert was on her.,food,neutral,TRAINU_00110_001
At the end of the meal the manager stopped by and said dessert was on her.,staff,negative,TRAINU_00110_002
the staff prefers to watch TV in the main dining room infront of their waiting customers then serve their customers.,staff,positive,TRAINU_00111_001
the staff prefers to watch TV in the main dining room infront of their waiting customers then serve their customers.,place,neutral,TRAINU_00111_002
Bread bar couldn't get anything right except water refills (good job to the water guy).,place,neutral,TRAINU_00113_001
Bread bar couldn't get anything right except water refills (good job to the water guy).,food,neutral,TRAINU_00113_002
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",staff,negative,TRAINU_00114_001
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",service,negative,TRAINU_00114_002
"the manager was nice profecional and service was average but the food was not italian, a diner is better, try po'",food,negative,TRAINU_00114_003
"In my opinion, the bar is not very well laid out, its narrow design makes it hard to meet a group for drinks.",food,neutral,TRAINU_00115_003
"We sat, missing a place setting for a while before the waitress came to ask if we wanted water and then ran away.",ambience,neutral,TRAINU_00116_001
"We sat, missing a place setting for a while before the waitress came to ask if we wanted water and then ran away.",staff,negative,TRAINU_00116_002
Don't let the decor fool you because you will miss out in some of the best food you ever eaten.,food,positive,TRAINU_00117_002
"Even with reservations, checking in, and a generally quiet night, the hostess forgot that we were there and gave our table to her friends.",miscellaneous,neutral,TRAINU_00118_001
"Even with reservations, checking in, and a generally quiet night, the hostess forgot that we were there and gave our table to her friends.",staff,negative,TRAINU_00118_002
"Service was ok, took a while to order even drinks.",service,positive,TRAINU_00119_001
"Service was ok, took a while to order even drinks.",food,neutral,TRAINU_00119_002
"The place was nice and the bartenders were friendly, but the cocktail girl was rude, obnoxious, and over charging all of us.",place,positive,TRAINU_00120_001
"The place was nice and the bartenders were friendly, but the cocktail girl was rude, obnoxious, and over charging all of us.",staff,negative,TRAINU_00120_002
"We often come with a baby and the staff is so sweet and kind to her, it is a joy to be there.",miscellaneous,neutral,TRAINU_00121_001
"We often come with a baby and the staff is so sweet and kind to her, it is a joy to be there.",staff,positive,TRAINU_00121_002
"I have to say that I've been there only during brunch time but the service even though slow, it was good.",service,positive,TRAINU_00123_002
"Besides the price, here are some other annoyances: bleaching the floors during the dinner and automatically charging you 20% gratuity on your credit card without your knowledge.",price,neutral,TRAINU_00124_001
"Besides the price, here are some other annoyances: bleaching the floors during the dinner and automatically charging you 20% gratuity on your credit card without your knowledge.",food,neutral,TRAINU_00124_002
Food again was not just a name on the menu but very well made and fresh.,food,positive,TRAINU_00125_001
Food again was not just a name on the menu but very well made and fresh.,menu,neutral,TRAINU_00125_002
"Music was blasting (speakers located practically on top of every table), and we asked the waitress if they can turn it down.",staff,negative,TRAINU_00126_002
"But the service, though invariably genial and helpful, can be weirdly haphazard -- waiters disappear mysteriously, only to reemerge just when you've decided their shift must have ended -- possibly an understaffing issue?",service,positive,TRAINU_00128_001
"But the service, though invariably genial and helpful, can be weirdly haphazard -- waiters disappear mysteriously, only to reemerge just when you've decided their shift must have ended -- possibly an understaffing issue?",staff,negative,TRAINU_00128_002
"This is a don't miss if you are anywhere close to the area, but if you're going for lunch, be there by noon to avoid a wait.",miscellaneous,neutral,TRAINU_00129_001
"This is a don't miss if you are anywhere close to the area, but if you're going for lunch, be there by noon to avoid a wait.",food,neutral,TRAINU_00129_002
"It is a small restaurant so without reservations, there can be a long wait.",service,negative,TRAINU_00130_002
"Horrible service, below average cuisine, asked to leave the table before finishing our wine, and forced to have our port at the bar.",service,negative,TRAINU_00132_001
"Horrible service, below average cuisine, asked to leave the table before finishing our wine, and forced to have our port at the bar.",food,negative,TRAINU_00132_002
"Horrible service, below average cuisine, asked to leave the table before finishing our wine, and forced to have our port at the bar.",miscellaneous,neutral,TRAINU_00132_003
The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,positive,TRAINU_00133_001
The owner and staff are all Japanese as well and that adds to the entire ambiance.,ambience,positive,TRAINU_00133_002
"A few years ago I would have rated it much higher, but now - with other better choices such as Candle Cafe, Good Health Cafe and others, the dated menu, crowded atmosphere are spacey service is not the greatest choice.",ambience,negative,TRAINU_00134_002
Great food -- but some of the worst service in the neighborhood.,food,positive,TRAINU_00135_001
Great food -- but some of the worst service in the neighborhood.,service,negative,TRAINU_00135_002
"The food wasn't overwhelming, but was very tasty, and the space wasn't overcrowded or obnoxious - the waiters and waitresses were attentive and helpful, but not obtrusive.",food,positive,TRAINU_00136_001
"The food wasn't overwhelming, but was very tasty, and the space wasn't overcrowded or obnoxious - the waiters and waitresses were attentive and helpful, but not obtrusive.",place,positive,TRAINU_00136_002
